OBJECTID,NAME,NAME_FR,FACILITY_GROUP_NAME,FACILITY_GROUP_NAME_FR,ADDRESS,ADDRESS_FR,SEASONAL,SEASON_START,SEASON_END,HOURS_SUNDAY_OPEN,HOURS_SUNDAY_CLOSED,HOURS_SUNDAY_SPECIAL,HOURS_MONDAY_OPEN,HOURS_TUESDAY_OPEN,HOURS_TUESDAY_CLOSED,HOURS_TUESDAY_SPECIAL,HOURS_WEDNESDAY_OPEN,HOURS_WEDNESDAY_CLOSED,HOURS_WEDNESDAY_SPECIAL,HOURS_THURSDAY_OPEN,HOURS_THURSDAY_CLOSED,HOURS_THURSDAY_SPECIAL,HOURS_FRIDAY_OPEN,HOURS_FRIDAY_CLOSED,HOURS_FRIDAY_SPECIAL,HOURS_SATURDAY_OPEN,HOURS_SATURDAY_CLOSED,HOURS_SATURDAY_SPECIAL,STAT_HOLIDAY_AVAILABILITY,CHANGE_STATION_CHILD,CHANGE_STATION_ADULT,FAMILY_TOILET,ACCESSIBILITY,REPORT_TELEPHONE,SPECIAL_TOILET_TYPE,X_COORDINATE,Y_COORDINATE,JURISDICTION,HOURS_MONDAY_CLOSED,HOURS_MONDAY_SPECIAL,HOURS_SUNDAY_SPECIAL_FR,HOURS_MONDAY_SPECIAL_FR,HOURS_TUESDAY_SPECIAL_FR,HOURS_WEDNESDAY_SPECIAL_FR,HOURS_THURSDAY_SPECIAL_FR,HOURS_FRIDAY_SPECIAL_FR,HOURS_SATURDAY_SPECIAL_FR
1,Carlington Park,Parc Carlington,NA,NA,937 Clyde Ave,937 av. Clyde,1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.74531902,45.37556867,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
2,Carlington Park,Parc Carlington,NA,NA,937 Clyde Ave,937 av. Clyde,1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.74531902,45.37556867,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
3,Walter Upton-Collins Park,Parc Walter-Upton-Collins,NA,NA,"894 River Road, Gloucester","894, chemin River, Gloucester",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.69183381,45.24286036,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
4,Lynda Lane Park,Parc Lynda-Lane,NA,NA,580 Smyth Rd.,"580, ch. Smyth",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,1,311,1,-75.64652646,45.39826687,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
5,Kilborn Allotment Garden,Jardins Collectifs Kilborn,NA,NA,1975 Kilborn Ave.,"1975, av. Kilborn",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.64041931,45.39313248,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
6,Andrew Haydon Park,Parc Andrew-Haydon,NA,NA,3127 Carling Ave,"3127, av. Carling",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.82045515,45.34925251,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
7,Stuemer Park,Parc Stuemer,NA,NA,777 Trim Rd,"777, ch. Trim",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,1,311,1,-75.48818011,45.50540125,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
8,Kinburn Community Centre,Centre communautaire de Kinburn,NA,NA,3045 Kinburn Side Rd.,"3045, ch. Kinburn Side",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-76.1881966,45.39350733,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
9,Nepean Creek Park / Charmaine Hooper Fields,Parc Nepean Creek / Terrains Charmaine-Hooper,NA,NA,15 Colonnade Rd,"15, ch. Colonnade",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.71677385,45.34463693,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
10,Walter Baker Park,Parc Walter-Baker,NA,NA,100 Charlie Rogers Pl.,"100, pl. Charlie-Rogers",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.90565235,45.29749079,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
